,hangul_word,hangeul_english_translation,does_end_in_hada,hangul_word_wo_hada,is_good_translation,hanja_english_pairs
536,표,ticket,False,표,True,"[('票', 'ticket')]"
537,프랑스,France,False,프랑스,False,[]
538,프랑스어,French (language),False,프랑스어,False,[]
539,피,blood,False,피,False,[]
540,피곤하다,tired,True,피곤,True,"[('疲困', 'be tired and sleepy')]"
541,피라미드,pyramid,False,피라미드,False,[]
542,피아노,piano,False,피아노,False,[]
543,피우다,to smoke (a cigarette),False,피우다,False,[]
544,피자,pizza,False,피자,False,[]
545,하나,one,False,하나,False,[]
546,하다,to do,True,,False,[]
547,하루,one day,False,하루,False,[]
548,하얀색,white,False,하얀색,False,[]
549,학교,school,False,학교,True,"[('學校', 'school')]"
550,학생,student,False,학생,True,"[('學生', 'student')]"
551,한,one (when modifying a counting unit that follows),False,한,False,[]
552,한국,Korea,False,한국,False,"[('韓國', '韓國')]"
553,한국어,Korean (language),False,한국어,False,"[('韓國語', 'Korea language')]"
554,한라산,Hallasan,False,한라산,False,"[('漢拏山', 'Mt. Hanyeol Mountain')]"
555,한번,once,False,한번,False,[]
556,한복,hanbok (traditional Korean costume),False,한복,True,"[('韓服', 'hanbok')]"
557,할머니,grandmother,False,할머니,False,[]
558,할아버지,grandfather,False,할아버지,False,[]
559,항상,always,False,항상,False,"[('恒常', 'constantly')]"
560,핸드폰,mobile phone,False,핸드폰,False,[]
561,햄버거,hamburger,False,햄버거,False,[]
562,허리,waist,False,허리,False,[]
563,형,elder brother from a male perspective,False,형,True,"[('兄', 'elder brother')]"
564,형,older brother,False,형,True,"[('兄', 'elder brother')]"
565,호선,subway line number,False,호선,True,"[('號線', 'line')]"
566,호주,Australia,False,호주,False,"[('戶主', 'the head of a household'), ('濠洲', 'Hao Chau, New Territories')]"
567,호텔,hotel,False,호텔,False,[]
568,혼자,alone,False,혼자,False,[]
569,홍차,black tea,False,홍차,True,"[('紅茶', 'black tea')]"
570,화요일,Tuesday,False,화요일,False,"[('火曜日', 'obsidian day')]"
571,화장실,rest room,False,화장실,False,"[('化粧室', 'make-up')]"
572,회사,company,False,회사,False,"[('會社', 'association')]"
573,회사원,company employee,False,회사원,False,"[('會社員', 'a member of a society')]"
574,회색,grey,False,회색,False,"[('灰色', 'grayish')]"
575,회의하다,to hold a meeting,True,회의,False,"[('懷疑', 'doubt'), ('會議', 'conference')]"
576,휴가,leave / vacation,False,휴가,False,"[('休暇', 'break')]"
577,휴대,being portable,False,휴대,False,"[('携帶', 'carry')]"
578,힘들다,laborous hard,False,힘들다,False,[]
